Date,Tweet
5/27/2022 0:21,"Congratulations @YWCACleveland 2022 Women of Achievement Honorees!

 Learn about the honorees &amp; the #YWCA… https://t.co/GCt69lmv1j"
5/27/2022 0:20,"RT @a_zionist: Goldsmiths urges student union to ‘reconsider position’ on Hirsh antisemitism probe 

#Antisemitism is OK at @GoldsmithsUoL…"
5/27/2022 0:18,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:18,RT @deAdder: Groundhog Day in America. From a long time ago. #shooting #Buffalo #BuffaloStrong #racism https://t.co/iOwFbu7rV1
5/27/2022 0:17,"RT @KatShirt: As the world turns dark it's easy to follow. To believe this is what we are now. Angry, profane, violent, lying, cheating.…"
5/27/2022 0:15,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:14,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:14,"RT @JeanJacquesDes7: Anti-Haitianism and anti-Blackness in Latino communities explained by a Dominican. Part 1
#Haiti #DominicanRepublic
#L…"
5/27/2022 0:14,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:13,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/27/2022 0:12,#DAILYPOP has now twice in a row used #racism on the show. You can’t say “us” around black people”? Says who!!! Why… https://t.co/ZCRbDLn83E
5/27/2022 0:11,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:11,@lew1184 @elizabethbetsyr @Pups4Truth @BentArmPose @oceanfront133 @headrush67 @GreatOhio @GitmoIs @RonDehlin… https://t.co/AhxwbSsNVj
5/27/2022 0:10,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:09,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/27/2022 0:09,"RT @a_zionist: Goldsmiths urges student union to ‘reconsider position’ on Hirsh antisemitism probe 

#Antisemitism is OK at @GoldsmithsUoL…"
5/27/2022 0:08,BTS may not be Asian-American but they certainly have faced racism in America. Why is everyone so mad about  BTS sp… https://t.co/Vm6z1eugt0
5/27/2022 0:07,"The War on Schools: Nclb, Nation Creation and the Educational Construction of Whiteness
(2007) : Leonardo, Zeus
DOI… https://t.co/1Hz2AwYuf2"
5/27/2022 0:05,"As the world turns dark it's easy to follow. To believe this is what we are now. Angry, profane, violent, lying, ch… https://t.co/9MlLg5J725"
5/27/2022 0:03,Watch Live Fri 5/27 @7pm EDT- The Hard Talk with Jakim SHOW on FaceBook Live. Chime In - Enjoy the 2way. We Drop Fr… https://t.co/v5oA2BvR4A
5/27/2022 0:03,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/27/2022 0:02,Automated robot can operate this country as well as the thief's calling politicians. That much full and full of nat… https://t.co/L61Q1LFVfg
5/27/2022 0:01,@PhillyD basically called @HerschelWalker a baked potato... sounds pretty racist to me. #racism
5/27/2022 0:01,"RT @revolutionairdj: What the fuck is happening in #Canada?

#Swastika is a sacred symbol of the #World's first #religion called ""#Sanatana…"
5/27/2022 0:00,There are many systemic reasons that discrimination occurs.  The only barriers to inclusion are the ones we put in… https://t.co/5WlKlfDtLS
5/26/2022 23:58,@washingtonpost There were a more than a dozen heavily armed officers right outside the school tasing and throwing… https://t.co/uaG2veipvT
5/26/2022 23:57,"RT @revolutionairdj: #Swastika is a sacred symbol of #World's first #religion ""#SanatanaDharma"".

If someone waves at you with a SWASTIKA..…"
5/26/2022 23:55,"@fordnation But has Toronto lawyer with an invite arrested becuz he didn't want her there.
#censorship
#racism… https://t.co/YdIiETWwns"
5/26/2022 23:55,"RT @_daSilvaJR: Are you working on a paper on #InternationalSecurity and #Racism?

@NawalAbu_72 and I are organizing an #ISA2023 Panel. Joi…"
5/26/2022 23:55,"RT @WeRAilurophiles: @izzysick101 @81stinfbde @CNeffect @pergolaman 
Hate,greed,and ignorance mark the bloody road to Armageddon and #RACIS…"
5/26/2022 23:54,What could possibly lead someone as intelligent and successful as @BarackObama to make such an insensitive and unju… https://t.co/t9p1CqQ1pP
5/26/2022 23:53,RT @AhmedKaballo: London-Based Russian student was denied the opportunity to study at University of West London because of “the recent even…
5/26/2022 23:53,"RT @WeRAilurophiles: @izzysick101 @81stinfbde @CNeffect @pergolaman 
Hate,greed,and ignorance mark the bloody road to Armageddon and #RACIS…"
5/26/2022 23:52,"RT @WeRAilurophiles: @izzysick101 @81stinfbde @CNeffect @pergolaman 
Hate,greed,and ignorance mark the bloody road to Armageddon and #RACIS…"
5/26/2022 23:51,"@izzysick101 @81stinfbde @CNeffect @pergolaman 
Hate,greed,and ignorance mark the bloody road to Armageddon and… https://t.co/7fNacuAetj"
5/26/2022 23:50,@AngelaMarston The #ToryCorruption got into power again ipso facto. pro-Tory #Bbcbias had a part in that. Shoulda s… https://t.co/a18BRzTiAp
5/26/2022 23:50,"RT @1Bob_Chamberlin: #FirstNations #Inuit &amp; #Metis people have dealt with Systemic #Racism &amp; silver smooth Govt vitriol for generations

#J…"
5/26/2022 23:49,"RT @TravellerRacism: I was trying to book a function room to celebrate my daughters christening.

I was told on the phone that they don't a…"
5/26/2022 23:47,It’s still happening!!…#CRT #BLM #BHM   #BlackTableTalk #Antisemitism #LivingWhileBlack #Blacktwitter #Racism… https://t.co/XFk5cRTPCB
5/26/2022 23:44,RT @ShoreyMichael: This right here is more proof that @BarackObama started the downfall of Americas unity. He takes a tragedy that has abso…
5/26/2022 23:43,"@votevets military needs to #PROTECTOURDEFENDERS, stop #MSA #SH #discrimination #racism  outright MURDER of women by our peers."
5/26/2022 23:42,"#Video orig made Oct 2020 sent 2 #Media Whoopi Goldberg &amp; Pro-#LGBTQ #power 
#Global #powercrisis re #Truth of… https://t.co/cO5aQ7Kxn2"
5/26/2022 23:42,RT @GatfieldEliza: We are living through the battle for the soul of humanity; with the profound strength of those who believe in Truth and…
5/26/2022 23:42,RT @profamirattaran: I think Canada’s government needs to list the USA as one of those counties where travel is not recommended.  Too many…
5/26/2022 23:41,@votevets women ALREADY strggl just to exist #discrimination #MSA #SexualHarassment being KILLED by our peers at wo… https://t.co/mbL64IJuVw
5/26/2022 23:40,We are living through the battle for the soul of humanity; with the profound strength of those who believe in Truth… https://t.co/nc0nCUpzjc
5/26/2022 23:35,"RT @visionforlife1: Did I experience racism at the grocery story?

#Racism #Grocery #store #Foodstamps https://t.co/DyOGzUBDRY"
5/26/2022 23:35,"Did I experience racism at the grocery story?

#Racism #Grocery #store #Foodstamps https://t.co/DyOGzUBDRY"
5/26/2022 23:34,This right here is more proof that @BarackObama started the downfall of Americas unity. He takes a tragedy that has… https://t.co/DxUREl1RXO
5/26/2022 23:33,We all know why it took more than an hour for Uvalde police to engage in the scene. #racism #WhiteSupremacy
5/26/2022 23:27,RT @deAdder: Thoughts and prayers.  #shooting #Buffalo #BuffaloStrong #racism https://t.co/3xANJtRYnf
5/26/2022 23:27,@TinTincognito @DeTocqueville14 @Hamilton_350 I wasn't raised by today's #Liberal so it is hard for me to see the… https://t.co/FqkleOObds
5/26/2022 23:26,"White Supremacy (A Rebuttal) | Christopher Titus | Zero Side Effects https://t.co/tYgjmu4a1m via @YouTube 
#Titus… https://t.co/0FQXhyIGAL"
5/26/2022 23:25,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
5/26/2022 23:25,"RT @nicolasnicola22: Fading Justice. 6"" X 4"". B&amp;W. Aquatint. Drypoint. Copperplate.#structuralracism  #aboriginal #stolengenerations #indig…"
5/26/2022 23:24,"RT @TravellerRacism: This is the original al @pontins Traveller/Romany surname blacklist, one of which is my own. Racist policies that are…"
5/26/2022 23:24,RT @STVASTG: The security guard who died trying to stop the white supremacist who murdered those people at TOPS is named Aaron Salter Jr. B…
